Model,MAE,MAPE
Naive,1.6254079278076037,0.021668657994865014
Seasonal Naive,2.7161975303293304,0.03600472927195187
Random Forest,1.242366250966154,0.016675183787330086
Gradient Boosting,1.2376739220962365,0.016519205922456877
Multilayer Perceptron,3.356780017673414,0.04518727674129158
