Actual,Naive,Seasonal Naive,Random Forest,Gradient Boosting,Multilayer Perceptron
4.426806311451632,7.101572804773583,4.658890916876264,7.33874540800457,5.9971452734735475,4.181483329781768
4.604568456629311,4.426806311451632,4.424728186154724,6.804972709717348,5.90692940874635,5.423971397835283
9.11499158829099,4.604568456629311,8.332625573704355,9.188900751230957,9.904185895521739,9.610593281494541
8.637364314483197,9.11499158829099,9.04406141019585,10.29364847753814,10.316641208990696,10.747728598866487
7.621164830906331,8.637364314483197,7.840952789391451,9.060334839743783,9.490219059086535,11.333589876208908
8.164692895317673,7.621164830906331,7.714339862833426,9.267480767496204,8.990691331588163,10.605252514246606
8.391521119030324,8.164692895317673,7.101572804773583,8.547865229370617,9.16352000435775,7.029267473957079
5.247041890878233,8.391521119030324,4.426806311451632,6.491869576523073,5.418588775333352,2.3623326753140717
4.123777240342485,5.247041890878233,4.604568456629311,6.2367818856443105,6.049479047343365,4.656731703805235
6.905539176620582,4.123777240342485,9.11499158829099,9.240393182972717,9.330257829085044,7.569328477138935
6.97746131473554,6.905539176620582,8.637364314483197,8.674463846570074,8.407924935655624,7.33748910293521
7.299381275245252,6.97746131473554,7.621164830906331,8.364742315794931,7.645575931810049,7.313529621810183
7.181102076954083,7.299381275245252,8.164692895317673,8.710929937380113,7.4768463232818565,7.972091405781959
6.846009774216269,7.181102076954083,8.391521119030324,8.55666137280272,8.055618430140564,7.165446679993189
4.035890663786017,6.846009774216269,5.247041890878233,5.666516162517631,5.471019250530684,3.8261973638983573
4.723286334708374,4.035890663786017,4.123777240342485,4.882131465405635,4.445735656610296,4.575299535105081
10.422750128526081,4.723286334708374,6.905539176620582,7.820234121280552,7.658151237258361,9.679460229693984
11.256211767554374,10.422750128526081,6.97746131473554,9.530250641469046,9.36233880202478,9.993886790202284
11.197644878817558,11.256211767554374,7.299381275245252,10.292392384200568,10.205744686102936,12.624198416830213
8.823960423043138,11.197644878817558,7.181102076954083,10.143470430091018,10.34892020371296,11.426471465794405
10.563885617707903,8.823960423043138,6.846009774216269,7.903560569622447,8.184909976429307,6.845643109993942
3.5679871197035147,10.563885617707903,4.035890663786017,6.311365565907998,4.899974952261243,2.8768535609604884
3.834739182944664,3.5679871197035147,4.723286334708374,4.895477246072572,4.342698323793931,3.2619385027698016
6.76437859904705,3.834739182944664,10.422750128526081,8.505306362991899,8.05157992369035,7.649656802927701
6.404804276686254,6.76437859904705,11.256211767554374,7.820072410532353,7.5100607867751545,6.977594266080176
6.410429428563007,6.404804276686254,11.197644878817558,7.633702410477188,7.693026936419883,6.7344982130592586
6.422815828074325,6.410429428563007,8.823960423043138,7.666804016285089,7.499874166916824,6.925058740712271
6.4071532279013335,6.422815828074325,10.563885617707903,7.622167087721653,7.384763059955193,6.182277042651837
4.134843464347145,6.4071532279013335,3.5679871197035147,3.9978634647740146,3.891411482304558,3.8314608644128594
5.162377141963501,4.134843464347145,3.834739182944664,4.66807940683592,3.7712632093267695,4.441741238581281
