Model,MAE,MAPE
Naive,24.644100182086376,0.39792416695675653
Seasonal Naive,6.644169095053785,0.06879699834744306
Random Forest,4.805700454957265,0.054894035432467264
Gradient Boosting,4.425655508037662,0.05306338874282326
Multilayer Perceptron,3.846882411447554,0.05012214563278338
