Model,MAE,MAPE
Naive,1.1257879771239974,0.21395964890762895
Seasonal Naive,0.7782266782611551,0.11462723457788489
Random Forest,0.6837735400136103,0.11545198607780606
Gradient Boosting,0.5924239817051753,0.09460616557038078
Multilayer Perceptron,0.6742503990444512,0.10530892539027975
