Actual,Naive,Seasonal Naive,Random Forest,Gradient Boosting,Multilayer Perceptron
71.99204485622586,69.82074778308264,79.7154602642196,72.49037397617194,71.03735419460466,73.8748251402607
75.23042598561473,71.99204485622586,80.59847349171947,74.12038983970206,72.94472318026408,73.91712657301518
76.76370308611014,75.23042598561473,77.77844607361301,80.22636994798658,84.38076904746083,70.5294787769488
75.84792659661197,76.76370308611014,80.74884648093499,76.976865585355,77.81136924653262,74.2064216077824
75.33060642648586,75.84792659661197,74.70797273938685,77.21524425670108,75.76276573693292,74.19801726425437
77.22177910705884,75.33060642648586,70.89139280270709,78.4821453225907,78.52161383283685,76.14567682801912
78.31679595635045,77.22177910705884,69.82074778308264,79.23507265839737,77.93569634479947,79.29443309281594
77.52262998546539,78.31679595635045,71.99204485622586,80.46525409275613,81.26509637470443,78.36086198549694
74.76593848890056,77.52262998546539,75.23042598561473,79.11636031207496,78.64807761914275,77.06995675310652
71.72258013984325,74.76593848890056,76.76370308611014,74.40282425151362,73.23857642354143,72.68168034033667
72.48319390741437,71.72258013984325,75.84792659661197,73.07604386781757,72.86027236667934,76.26415035805483
73.54796107316652,72.48319390741437,75.33060642648586,74.26618309219627,72.57813305701025,72.33791948786495
72.70538416437996,73.54796107316652,77.22177910705884,76.62346901885769,76.53926176015955,74.08314071590809
72.29080865252172,72.70538416437996,78.31679595635045,74.14319979796716,73.64718886816543,70.86264268031869
73.82538139315041,72.29080865252172,77.52262998546539,74.8421104923567,73.9570573554986,72.91956064346242
76.85367474189647,73.82538139315041,74.76593848890056,76.09061599315407,75.84408438570169,74.98067562233118
82.73228138507473,76.85367474189647,71.72258013984325,81.97987024245636,82.89501758009507,77.53476528807182
87.80791682574106,82.73228138507473,72.48319390741437,80.31742393671105,80.96700851877125,80.15371502383663
89.47354415217028,87.80791682574106,73.54796107316652,88.38332835528853,85.99576163406562,87.07835206233418
79.60428910103039,89.47354415217028,72.70538416437996,82.10271528999422,79.47708895121386,80.98813034564182
80.91016442947,79.60428910103039,72.29080865252172,77.28285766325615,75.96891327523853,72.25085976978474
71.88716306672102,80.91016442947,73.82538139315041,77.13635718759906,76.76615499367242,72.94951465188332
74.63202207491095,71.88716306672102,76.85367474189647,74.4439795263537,74.21816439292009,73.24860100466265
71.01502286958365,74.63202207491095,82.73228138507473,74.80309899385409,73.80243321790523,71.10507705486845
