cooling,exterior lighting,fans,heat recovery,heat rejection,heating_energy,interior equipment,interior_lighting,pumps,refrigeration,water systems
1.0,-0.0333038869263107,0.5385820075652354,0.22761179723222438,0.36996926261103347,-0.031067133513762515,0.5597126440506706,0.4797534697407347,0.5017852205311897,0.23493769404535914,0.31066924967111803
-0.0333038869263107,1.0,0.12124103691061643,0.022025463712031828,0.009543094384190449,0.07919512329163803,0.13810893899168575,0.022117074062477808,0.07371914824561827,0.03751320809106915,0.028357556882310293
0.5385820075652354,0.12124103691061643,1.0,0.21138884806733602,0.18465886398085793,0.15657981939081514,0.6490499644756926,0.6722724641825792,0.2885843166708163,0.25183591888600343,0.4092896432720633
0.22761179723222438,0.022025463712031828,0.21138884806733602,1.0,0.0859353281269774,0.01635325365266358,0.2619145108944359,0.29835258220493177,0.2746677757757551,0.24299973689756668,0.22246476421764722
0.36996926261103347,0.009543094384190449,0.18465886398085793,0.0859353281269774,1.0,-0.008646393141215647,0.3358129671997181,0.2096160495102192,0.5360052960095661,0.10879090643943042,0.11833713915416325
-0.031067133513762515,0.07919512329163803,0.15657981939081514,0.01635325365266358,-0.008646393141215647,1.0,0.08824862930066732,0.14528490530646648,-0.0025032380019877638,-0.01411583777942163,0.0667017779112019
0.5597126440506706,0.13810893899168575,0.6490499644756926,0.2619145108944359,0.3358129671997181,0.08824862930066732,1.0,0.6404667959274206,0.5797153095025318,0.3293983276557325,0.48362996801449054
0.4797534697407347,0.022117074062477808,0.6722724641825792,0.29835258220493177,0.2096160495102192,0.14528490530646648,0.6404667959274206,1.0,0.3197602990486604,0.15629309730144256,0.3017125383789759
0.5017852205311897,0.07371914824561827,0.2885843166708163,0.2746677757757551,0.5360052960095661,-0.0025032380019877638,0.5797153095025318,0.3197602990486604,1.0,0.26002133988999676,0.3479084309598926
0.23493769404535914,0.03751320809106915,0.25183591888600343,0.24299973689756668,0.10879090643943042,-0.01411583777942163,0.3293983276557325,0.15629309730144256,0.26002133988999676,1.0,0.3688978078338889
0.31066924967111803,0.028357556882310293,0.4092896432720633,0.22246476421764722,0.11833713915416325,0.0667017779112019,0.48362996801449054,0.3017125383789759,0.3479084309598926,0.3688978078338889,1.0
